roaming_destination_id,service_provider,country,roaming_destination_name,mcc,remarks,created_at,updated_at
4,uMobile,Greece,Greece: Vodafone,202,N/A,04/06/2020 14:33,04/06/2020 14:33
5,uMobile,Netherlands,Netherlands: Vodafone,204,N/A,04/06/2020 14:33,04/06/2020 14:33
8,uMobile,France,France: Bouygues Telecom,208,N/A,04/06/2020 14:33,04/06/2020 14:33
9,uMobile,Spain,Spain: Vodafone,214,N/A,04/06/2020 14:33,04/06/2020 14:33
10,uMobile,Hungary,Hungary: Vodafone,216,N/A,04/06/2020 14:33,04/06/2020 14:33
11,uMobile,Italy,Italy: Vodafone,222,N/A,04/06/2020 14:33,04/06/2020 14:33
12,uMobile,Italy,Italy: H3G,222,N/A,04/06/2020 14:33,04/06/2020 14:33
13,uMobile,Romania,Romania: Vodafone,226,N/A,04/06/2020 14:33,04/06/2020 14:33
14,uMobile,Switzerland,Switzerland: Swisscom,228,N/A,04/06/2020 14:33,04/06/2020 14:33
15,uMobile,CzechRepublic,CzechRepublic: Vodafone,230,N/A,04/06/2020 14:33,04/06/2020 14:33
16,uMobile,Austria,Austria: H3G,232,N/A,04/06/2020 14:33,04/06/2020 14:33
17,uMobile,UK,UK: Vodafone,234,N/A,04/06/2020 14:33,04/06/2020 14:33
18,uMobile,UK,UK: H3G,234,N/A,04/06/2020 14:33,04/06/2020 14:33
19,uMobile,Denmark,Denmark: H3G,238,N/A,04/06/2020 14:33,04/06/2020 14:33
20,uMobile,Sweden,Sweden: H3G,240,N/A,04/06/2020 14:33,04/06/2020 14:33
21,uMobile,Russian Federation,Russian Federation: BeeLine/VimpelCom,250,N/A,04/06/2020 14:33,04/06/2020 14:33
22,uMobile,Germany,Germany: Vodafone,262,N/A,04/06/2020 14:33,04/06/2020 14:33
23,uMobile,Portugal,Portugal: Vodafone,268,N/A,04/06/2020 14:33,04/06/2020 14:33
24,uMobile,Ireland,Ireland: Vodafone,272,N/A,04/06/2020 14:33,04/06/2020 14:33
25,uMobile,Ireland,Ireland: H3G,272,N/A,04/06/2020 14:33,04/06/2020 14:33
26,uMobile,Albania,Albania: Vodafone,276,N/A,04/06/2020 14:33,04/06/2020 14:33
27,uMobile,Malta,Malta: Vodafone,278,N/A,04/06/2020 14:33,04/06/2020 14:33
30,uMobile,Turkey,Turkey: Vodafone-Telsim,286,N/A,04/06/2020 14:33,04/06/2020 14:33
33,uMobile,Canada,Canada: Rogers,302,N/A,04/06/2020 14:33,04/06/2020 14:33
34,uMobile,United States,United States: T-Mobile,310,N/A,04/06/2020 14:33,04/06/2020 14:33
35,uMobile,Guam,Guam: DoCoMoPacific,310,N/A,04/06/2020 14:33,04/06/2020 14:33
37,uMobile,United States,United States: ATT,310,N/A,04/06/2020 14:33,04/06/2020 14:33
40,uMobile,Myanmar,Myanmar: MPT,414,N/A,04/06/2020 14:33,04/06/2020 14:33
43,uMobile,SaudiArabia,SaudiArabia: STC,420,N/A,04/06/2020 14:33,04/06/2020 14:33
46,uMobile,UAE,UAE: Du,424,N/A,04/06/2020 14:33,04/06/2020 14:33
48,uMobile,Israel,Israel: Partner,425,N/A,04/06/2020 14:33,04/06/2020 14:33
49,uMobile,Israel,Israel: Pelephone,425,N/A,04/06/2020 14:33,04/06/2020 14:33
51,uMobile,Qatar,Qatar: Vodafone,427,N/A,04/06/2020 14:33,04/06/2020 14:33
56,uMobile,Japan,Japan: NTTDoCoMo,440,N/A,04/06/2020 14:33,04/06/2020 14:33
59,uMobile,Korea,Korea: SKT,450,N/A,04/06/2020 14:33,04/06/2020 14:33
60,uMobile,Korea,Korea: KT Freetel Co. Ltd.,450,N/A,04/06/2020 14:33,04/06/2020 14:33
62,uMobile,Vitenam,Vitenam: Vitenam Mobile,452,N/A,04/06/2020 14:33,04/06/2020 14:33
