Service Type,Charge Type,Country,No. of SMS
SMS,SMS MO,Australia,6
SMS,SMS MO,Austria,2
SMS,SMS MO,Bangladesh,20
SMS,SMS MO,Belgium,4
SMS,SMS MO,Canada,31
SMS,SMS MO,China,13
SMS,SMS MO,France,3
SMS,SMS MO,Hong Kong,1
SMS,SMS MO,India,3
SMS,SMS MO,Indonesia,34
SMS,SMS MO,Myanmar,20
SMS,SMS MO,Nepal,3
SMS,SMS MO,Nigeria,1
SMS,SMS MO,Philippines,17
SMS,SMS MO,Singapore,263
SMS,SMS MO,Sri Lanka,6
SMS,SMS MO,Sweden,1
SMS,SMS MO,Taiwan,2
SMS,SMS MO,United Arab Emirates,1
SMS,SMS MO,United Kingdom,571
SMS,SMS MO,Vietnam,4
