Service Type,Charge Type,Country,Usage (Mbyte)
Data Roaming,MO,Brunei-UNN/DST/Progresif,0.0
Data Roaming,MO,China-ChinaMobile,0.04
Data Roaming,MO,China-Unicom,0.43
Data Roaming,MO,Indonesia-Telkomsel,5819.34
Data Roaming,MO,Japan-Softbank,289.97
Data Roaming,MO,Pakistan-Telenor,0.0
Data Roaming,MO,Singapore-Simba,15639.67
Data Roaming,MO,Singapore-SingTel,26125.78
Data Roaming,MO,Singapore-Starhub,109497.6
Data Roaming,MO,Taiwan-Chunghwa,0.24
Data Roaming,MO,Thailand-AIS,41680.44
Data Roaming,MO,Thailand-Truemove,48320.08
Data Roaming,MO,UK-H3G,48.08
Data Roaming,MO,UK-Vodafone,11.51
