,"Service Type (e.g., IDD Mobile Call, International SMS, Special Number, Voice On-Net, Voice Off-Net, etc.)",Comments ,Event/Call Start Date Time ,Call Duration (second) / Total  Volume (UL +DL ) in bytes,MSISDN A#,MSISDN B#,IMSI
1,Domestic Data 4G,4G  Excluding Rating Group in {500003},,,,,
2,Domestic Data 5G,5G  Excluding Rating Group in {500003},,,,,
3,Domestic MO SMS (Offnet / Onnet),Anchor SMSC cannot differentiate On/Off-net SMS.,,,,,
4,Domestic MO Voice (Onnet),,,,,,
5,Domestic MO Voice (Offnet),,,,,,
6,Domestic IDD MO Voice,,,,,,
7,Domestic IDD MO SMS,,,,,,
8,Roaming Data 4G / 5G,,,,,,
9,Roaming MT Voice (Camel/S8HR),,,,,,
10,Roaming MO Voice (Camel/S8HR),,,,,,
11,Roaming SMS MO (Camel/S8HR),,,,,,
12,Premium Special Number Voice,speical numbers = bParty roaming destination = 87,,,,,
13,Non-Profit A2P,,,,,,
14,Commercial A2P,,,,,,
