report_start_date,report_end_date,count,sum(update_used_volume),rating_group
2026-03-01,2026-03-31,119451,,
2026-03-01,2026-03-31,1031804,,500001
2026-03-01,2026-03-31,5822671,,500002
2026-03-01,2026-03-31,48170,,500003
2026-03-01,2026-03-31,789,,500004
2026-03-01,2026-03-31,1376478,,500006
2026-03-01,2026-03-31,4775945,,500008
2026-03-01,2026-03-31,774305,,500010
2026-03-01,2026-03-31,2117712,,500015
2026-03-01,2026-03-31,22,,500016
2026-03-01,2026-03-31,57818,,500018
2026-03-01,2026-03-31,170087,,OFFNET
2026-03-01,2026-03-31,40486,,ONNET
2026-03-01,2026-03-31,967787,,SM
