SMS,,,,
Service Type,Charge Type,Country, No. of SMS ,
SMS,SMS MO, HongKong ,2,
SMS,SMS MO,Indonesia,1,
SMS,SMS MO,Russia,1,
SMS,SMS MO,Taiwan,1,
SMS,SMS MO,Vietnam,2,
,,,,
,,,,
,,,,
Voice,,,,
Service Type,Charge Type,Country, No. of Calls ,MOUs
Voice,Voice MO, Australia ,2,2.02
Voice,Voice MO,China,1,0.87
,,,,
,,,,
Data Roaming MO,,,,
Service Type,Charge Type,Country, Usage (Mbyte) ,
Data Roaming,MO,Australia-Optus,63,
Data Roaming,MO,Bangladesh-Banglalink,1,
Data Roaming,MO,Brunei-UNN/DST/Progresif,41,
Data Roaming,MO,Cambodia-Cellcard/Mobitel,4,
Data Roaming,MO,Cambodia-Metfone,111,
Data Roaming,MO,China-China Mobile,"4,588",
Data Roaming,MO,China-Unicom,"2,901",
Data Roaming,MO,Germany-Vodafone,18,
Data Roaming,MO,Hong Kong-CSL/Sun Mobile,"1,053",
Data Roaming,MO,Hong Kong-Hutchison 3,29,
Data Roaming,MO,Iceland-Nova,"1,351",
Data Roaming,MO,India-Reliance Jio,195,
Data Roaming,MO,Indonesia-Telkomsel,"1,749",
Data Roaming,MO,Japan-NTT DoCoMo,25,
Data Roaming,MO,Japan-Softbank,106,
