Premium and Special Numbers,,,,
Service Type,Charge Type,Call Type,No. of Calls,MOU
Voice,Premium and Special Numbers,1 MOCC - 03-8000 8000,5,13.15
Voice,Premium and Special Numbers,1300 Numbers,267,1211.1
Voice,Premium and Special Numbers,1700 Numbers,10,16.23
Voice,Premium and Special Numbers,1800 Numbers,200,924.53
Voice,Premium and Special Numbers,Directory Assistance -Services 103,2,2.67
Voice,Premium and Special Numbers,Emergency Numbers,2,18.87
Voice,Premium and Special Numbers,Info Services - 100,131,474.55
Voice,Premium and Special Numbers,Info Services - 15454,27,133.27
Voice,Premium and Special Numbers,Info Services - 15300,1,4.38
Voice,Premium and Special Numbers,Info Services - 15353,1,7.23
Voice,Premium and Special Numbers,Info Services - 15404,1,7.47
Voice,Premium and Special Numbers,Info Services - 15444,16,44.27
Voice,Premium and Special Numbers,Info Services - 15777,5,6.52
