service_plan_id,service_plan_code,service_plan_desc
573,1000MINS-VOICE,
476,30MINS-VOICE,
541,30MINS-VOICE,
413,30ROLLING_DATA,30ROLLING_DATA
413,30ROLLING_DATA,
499,30ROLLING_DATA,
505,30ROLLING_DATA,
418,30ROLLING_SMS,
500,30ROLLING_SMS,
503,30ROLLING_SMS,
417,30ROLLING_VOICE,
501,30ROLLING_VOICE,
504,30ROLLING_VOICE,
505,30ROLLING_VOICE,
502,4G DATA,
567,Bangladesh-10min,
502,BUCKET_ONNET_SMS,
575,CGO-F20-DATA,
574,CGO-VOICE,
422,EMERGENCY,
436,EMERGENCY,
477,EMERGENCY,
542,EMERGENCY,
549,ESK-10GB-30DAYS,
443,EZ15-35-50-68-98-VOICE,
464,EZ15-DATA,
478,EZ15-DATA,
463,EZ15-SMS,
479,EZ15-SMS,
472,EZ15-VOICE,
498,EZ15-VOICE,
444,EZ35-50-68-98-SMS,
480,EZ35-50-68-98-SMS,
543,EZ35-50-68-98-SMS,
443,EZ-35-50-68-98-VOICE,
481,EZ-35-50-68-98-VOICE,
544,EZ-35-50-68-98-VOICE,
442,EZ35-DATA,
482,EZ35-DATA,
545,EZ35-DATA,
444,EZ35-SMS,
443,EZ35-VOICE,
446,EZ50-DATA,
484,EZ50-DATA,
563,EZ50-DATA-TEST,
445,EZ50-ROAMING,
485,EZ50-ROAMING,
448,EZ50-SMS,
447,EZ50-VOICE,
486,EZ68-DATA,
487,EZ68-ROAMING,
488,EZ98-DATA,
489,EZ98-ROAMING,
490,EZDAY,
533,EZ-Roam15D,
536,EZ-Roam15D-Expl-16,
534,EZ-Roam30D,
532,EZ-Roam7D,
535,EZ-Roam7D-Expl-16,
537,EZ-Roam7D-Global10,
538,EZ-Roam7D-Global16,
565,F20-DATA,
473,FUP-2GB,
496,FUP-2GB,
474,FUP-5GB,
497,FUP-5GB,
546,FUP-5GB,
564,FUP-5GB-TEST,
568,Indonesia-10min,
569,Nepal-10min,
419,ONEOFF_DATA,
557,ONEOFF_Data_week,
420,ONEOFF_SMS,
421,ONEOFF_VOICE,
502,ONNET VOICE,
512,OTP-10GB-7DAYS,
513,OTP-1GB-30DAYS,
514,OTP-20GB-30DAYS,
514,OTP-240GB-365DAYS,
507,OTP-30MINS-1DAY,
509,OTP-30MINS-30DAYS,
509,OTP-30MINS-365DAYS,
508,OTP-30MINS-7DAYS,
510,OTP-5GB-1DAY,
518,OTP-FUP-1GB-30DAYS,
519,OTP-FUP-5GB-30DAYS,
517,OTP-UNLIMIT-DATA-30DAYS,
414,PAYG,PAYG
414,PAYG,
437,PAYG,
494,PAYG,
547,PAYG,
526,QTU-30GB,
562,QTU-30GB-TEST,
441,SP-DATA,
469,STARTER-PACK,
495,STARTER-PACK,
548,STARTER-PACK,
558,START-PACK-TEST,
529,SUPREME-DATA,
530,SUPREME-SMS,
531,SUPREME-VOICE,
521,SVIP-ROAMING-10GB,
525,SVIP-ROAMING-30MINS-30DAYS,
431,TEST-SP02,
430,TEST-SP1,
550,TNG-25-35-48-VOICE,
551,TNG-25-DATA,
554,TNG-25-SMS,
552,TNG-35-DATA,
555,TNG-35-SMS,
553,TNG-48-DATA,
556,TNG-48-SMS,
580,TNG-TRAVEL40-DATA,
581,TNG-TRAVEL40-ROAMING,
582,TNG-TRAVEL96-DATA,
583,TNG-TRAVEL96-ROAMING,
584,TNG-TRAVEL-VOICE,
475,UK-SMS,
522,VIP-ROAMING-10SMS-30DAYS,
517,VIP-UNLIMIT-DATA-30DAYS,
523,VIP-UNLIMIT-SMS-30DAYS,
511,VIP-UNLIMIT-VOICE-30DAYS,
586,WEKONGSI_EASY38_DATA,
587,WEKONGSI_EASY50_DATA,
